0,Frostblade Scroll,175,123,1,1024,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4,QViRCtA0ryqL/xDkUdi7xSPT4sqr7tUZuiFro83HW4Y=
1,Gauss Rifle,178,1500,0,101,32,0,0,0,0,0,0,0,0,0,0,0,76,69,0,0,0,0,0,25,25,0,0,0,0,7,0,3,10,0,0,6,0,G+XL84cfqvHd/T7NWlUj0RDumttBwqiSCJm9lU+fdsg=
2,Goblin Ring Half,200,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,99,0,XCnBE4+XlscwlB0omst8w/o1xQDzp42afunX2gSBhTU=
3,Gold Horn,175,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,12,12,0,0,0,0,1,0,0,0,0,0,2,0,9j8BMtbX00Sj0tgkSjjel73aLTBhw4ZKSOSnP8yVh2I=
4,Gold Horn,175,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,7dM4SwgdOV7qCC3CLdov1aZNc6tUUWHg+zR2nJEEyvo=
5,Gold Silk Pantaloons,180,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,3,0,6AgbC7oDuFJ8z7Go0kRoI+XO/G/M/lwQMEsfj3uEZe8=
6,Golden Apple,200,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,99,0,fC2VMqXxhfSGyvWXdDb4iXO/aBnDKJ81CgJgGMR3Swg=
7,Golden Greaves,177,212,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26,26,0,0,0,0,9,0,3,0,0,0,5,0,VHzFVfvD6INQmRLMNYbBNIF5NcBsTVlG6oK3CCARcUQ=
8,Green Cap with Feather,180,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,BwWzzjmc4Gy05tf1QpI8RWlO1aXDG/xStZa5e7seE8U=
9,Green Cotton Skirt,180,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,HQXYoxTL9M+zAaln45vHSB+ZPKvDh1+VoJkzFDX+i18=
10,Guild Ring,201,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,99,0,UASDr14yEwZm1sJvzmgnAmCbL5ZPDEmAxMJnFPORlOk=
11,Healing Wand,175,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,c+Qoq/+tn5pJnzUPs2xziii/OgghwveOu6SokinXN78=
12,Heavy Leather Jacket,180,82,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,20,0,0,0,0,0,0,0,OA63B07U8cdIAq7Zfbr2DrlnXVYThANKsBICHdLSOv8=
13,Helm Of Light,177,450,1,3,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,65536,0,50,50,4,0,0,0,5,0,0,0,0,0,99,3,/BBo4clNyLoPrjanQerB68PBkg2oBkf613vkY5x7ZHU=
14,Ace Of Cups Card,175,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,CqqISfZw1W3LF6RwPhhdTlW3br6qwkIMqCsBcgAFYmI=
15,Ace Of Pentacles Card,175,350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,3,0,wueWBKNE1mHw8HcXcdr9AnyrODW/yBkolvEJotBpRWY=
16,Ace Of Wands Card,175,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,2,0,3rRRQoR5n6ARjpEJCPHOK0vG2fIpXaMVMVFK/1ANPRg=
17,Amber Eye,175,450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,0,0,12,1,3,0,0,0,0,0,0,30,0,0,2,2,/S+R1G0p86JA/wOgiUI2A7Vd3PwNvF08WK+4S2poW3o=
18,Amethyst Rod,200,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,65536,0,0,0,0,0,0,0,0,0,0,99,0,GO8LUub+ntO+H26lg2xjGbY/xAEZ3BP6/bQI4W41pgU=
19,Banded Breastplate,177,127,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32,32,0,0,0,0,54,0,1,0,0,0,3,0,YK9Sf2vUjGzBGTBm4E7TLBTy7UNE101rNrokWqN/JhY=
20,Banded Gauntlets,177,127,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32,32,0,0,0,0,9,0,2,0,0,0,3,0,Xtwj9n+Sl70D8KbHyq+1DTKDEPXw9sBEeac90jZW4YE=
